FID;ID;ID_BD;ID_CODIGO;ID_MOD;FECHA_ALTA;ALTITUD;COD_IATA;COD_ICAO;COMPE_0615;TEN_T;TIPO_0615;ETIQUETA
126;422;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
127;423;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
128;424;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
129;425;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
130;426;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
131;427;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
132;428;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
133;429;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
134;430;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
135;431;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
136;432;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
137;433;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
138;434;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
139;435;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
140;436;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
141;437;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
142;438;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
143;439;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
144;440;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
145;441;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
146;442;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
147;443;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
148;444;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
149;445;0;0615P;0;20121129000000;2; ;LETJ;02;01;02;Aeródromo de Trebujena
150;446;0;0615P;0;20130222000000;75; ; ;02;01;02;Aeródromo de Medina Sidonia
151;447;0;0615P;0;20141204101347;2;GIB;LXGB;02;01;01;Aeropuerto de Gibraltar
152;448;0;0615P;0;20130104000000;25; ; ;02;01;02;Aeródromo de Mafé-Gibraleón
153;449;0;0615P;0;20120315000000;0; ; ;02;01;03;Helipuerto
154;450;0;0615P;0;20120320000000;0; ; ;02;01;03;Helipuerto
155;451;0;0615P;0;20120320000000;0; ; ;02;01;03;Helipuerto
156;452;0;0615P;0;20120316000000;0; ; ;02;01;03;Helipuerto
157;453;0;0615P;0;20120315000000;0; ; ;02;01;03;Helipuerto
158;454;0;0615P;0;20120315000000;0; ; ;02;01;03;Helipuerto
159;455;0;0615P;0;20130502000000;66; ; ;02;01;02;Aeródromo de Almonte
160;456;0;0615P;0;20130502000000;55; ; ;02;01;02;Aeroclub Niebla
161;470;0;0615P;0;20121031000000;123; ; ;02;01;02;Aeródromo de Palma del Río
162;471;0;0615P;33193;20060724000000;91;ODB;LEBA;01;01;01;Aeropuerto de Córdoba
163;472;0;0615P;0;20120320000000;0; ; ;02;01;03;Helipuerto
164;473;0;0615P;0;20120320000000;0; ; ;02;01;03;Helipuerto
165;474;0;0615P;0;20120320000000;0; ; ;02;01;03;Helipuerto
166;475;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
167;476;0;0615P;0;20120315000000;0; ; ;02;01;03;Helipuerto
168;477;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
169;478;0;0615P;0;20120320000000;0; ; ;02;01;03;Helipuerto
